Region,Gender,Year,Lowerbound,Upperbound,Mean_Estimate,Country,age_group,CI_WIDTH,Obesity_level,CI_Width,Condition
Eastern Mediterranean,Both,2013,19.59004,24.86901,22.14725,TUN,Adult,5.278970000000001,Low,5.278970000000001,Obesity
Americas,Both,2016,21.17294,24.48862,22.79842,VEN,Adult,3.3156800000000004,Low,3.3156800000000004,Obesity
Europe,Both,2018,20.91263,25.6235,23.27709,ALB,Adult,4.71087,Low,4.71087,Obesity
Americas,Male,2020,25.12868,31.42218,28.2102,CAN,Adult,6.293500000000002,Moderate,6.293500000000002,Obesity
Americas,Male,2022,18.16296,28.40372,23.05017,DOM,Adult,10.240759999999998,Low,10.240759999999998,Obesity
Western Pacific,Female,2013,6.35959,8.11878,7.21931,PHL,Adult,1.7591899999999994,Low,1.7591899999999994,Obesity
Eastern Mediterranean,Both,2021,8.42694,16.50259,12.16913,SOM,Adult,8.075650000000001,Low,8.075650000000001,Obesity
Americas,Both,2015,26.00248,30.48474,28.24331,LCA,Adult,4.48226,Moderate,4.48226,Obesity
Europe,Both,2017,20.98131,24.8188,22.8913,ISR,Adult,3.837489999999999,Low,3.837489999999999,Obesity
Americas,Male,2019,17.52573,23.85222,20.62769,VEN,Adult,6.32649,Low,6.32649,Obesity
Africa,Female,2020,13.62886,17.57179,15.51509,KEN,Adult,3.9429300000000005,Low,3.9429300000000005,Obesity
Eastern Mediterranean,Male,2015,23.76807,35.55093,29.53593,BHR,Adult,11.78286,Moderate,11.78286,Obesity
South-East Asia,Female,2017,10.8913,14.02704,12.39356,IDN,Adult,3.13574,Low,3.13574,Obesity
Americas,Male,2015,10.89826,26.71957,18.03812,HND,Adult,15.82131,Low,15.82131,Obesity
South-East Asia,Both,2020,5.91067,7.00738,6.44182,IND,Adult,1.0967100000000007,Low,1.0967100000000007,Obesity
Western Pacific,Female,2014,17.72281,25.33105,21.37072,VUT,Adult,7.608240000000002,Low,7.608240000000002,Obesity
Eastern Mediterranean,Male,2018,12.41411,16.85259,14.5276,PAK,Adult,4.438479999999998,Low,4.438479999999998,Obesity
Americas,Female,2017,25.88341,53.5148,39.36625,BMU,Adult,27.63139,High,27.63139,Obesity
South-East Asia,Male,2021,4.67704,7.94658,6.16658,IDN,Adult,3.26954,Low,3.26954,Obesity
Africa,Female,2012,27.32836,33.49642,30.39894,SWZ,Adult,6.1680600000000005,High,6.1680600000000005,Obesity
Americas,Both,2015,35.56919,47.19855,41.26513,KNA,Adult,11.629359999999998,High,11.629359999999998,Obesity
Western Pacific,Male,2018,4.65422,6.0554,5.32597,JPN,Adult,1.40118,Low,1.40118,Obesity
Africa,Female,2012,7.14777,16.60595,11.35715,AGO,Adult,9.458179999999999,Low,9.458179999999999,Obesity
Americas,Both,2012,31.3674,38.32105,34.79087,PRI,Adult,6.95365,High,6.95365,Obesity
Western Pacific,Male,2018,62.64709,73.56123,68.15975,NRU,Adult,10.914139999999996,High,10.914139999999996,Obesity
Europe,Both,2022,19.66355,24.79267,22.20498,SVN,Adult,5.12912,Low,5.12912,Obesity
Western Pacific,Both,2014,14.00888,20.30553,17.0519,PNG,Adult,6.296650000000001,Low,6.296650000000001,Obesity
,Male,2021,29.18699,32.26798,30.72531,AMR,Adult,3.08099,High,3.08099,Obesity
Africa,Male,2012,2.1404,4.06553,3.01178,KEN,Adult,1.9251299999999998,Low,1.9251299999999998,Obesity
Americas,Male,2017,14.82224,21.75439,18.18239,BOL,Adult,6.93215,Low,6.93215,Obesity
Africa,Both,2017,9.00201,11.98359,10.39007,GMB,Adult,2.9815799999999992,Low,2.9815799999999992,Obesity
,Both,2016,29.76903,30.82354,30.29644,AMR,Adult,1.0545100000000005,High,1.0545100000000005,Obesity
Americas,Male,2014,36.28815,39.25041,37.75218,USA,Adult,2.9622600000000006,High,2.9622600000000006,Obesity
South-East Asia,Female,2014,12.36102,15.31685,13.80149,THA,Adult,2.9558300000000006,Low,2.9558300000000006,Obesity
Western Pacific,Both,2020,62.37022,72.18056,67.42838,COK,Adult,9.810339999999997,High,9.810339999999997,Obesity
Western Pacific,Female,2019,22.10143,27.32566,24.65506,MYS,Adult,5.224229999999999,Low,5.224229999999999,Obesity
